Last Update,Confirmed,Deaths,Recovered
2020-01-22,555.0,17.0,28.0
2020-01-23,653.0,18.0,30.0
2020-01-24,941.0,26.0,36.0
2020-01-25,1438.0,42.0,39.0
2020-01-26,2118.0,56.0,52.0
2020-01-27,2927.0,82.0,61.0
2020-01-28,5578.0,131.0,107.0
2020-01-29,6165.0,133.0,126.0
2020-01-30,8235.0,171.0,143.0
2020-01-31,10151.0,213.0,239.0
2020-02-01,12287.0,259.0,288.0
2020-02-02,16804.0,366.0,463.0
2020-02-03,19902.0,425.0,617.0
2020-02-04,24027.0,491.0,866.0
2020-02-05,27587.0,563.0,1120.0
2020-02-06,30798.0,633.0,1507.0
2020-02-07,34485.0,723.0,2000.0
2020-02-08,37078.0,805.0,2660.0
2020-02-09,40326.0,905.0,3313.0
2020-02-10,42696.0,1012.0,3905.0
2020-02-11,44584.0,1112.0,4689.0
2020-02-12,45590.0,1140.0,5320.0
2020-02-13,60636.0,1372.0,6531.0
2020-02-14,66634.0,1521.0,7952.0
2020-02-15,69112.0,1673.0,9477.0
2020-02-16,71197.0,1768.0,10911.0
2020-02-17,73273.0,1867.0,12590.0
2020-02-18,75029.0,2004.0,14315.0
2020-02-19,75634.0,2120.0,16136.0
2020-02-20,77227.0,2249.0,18060.0
2020-02-21,76959.0,2250.0,19442.0
2020-02-22,77612.0,2451.0,22613.0
2020-02-23,81138.0,2475.0,24155.0
2020-02-24,78714.0,2626.0,25128.0
2020-02-25,79768.0,2702.0,27997.0
2020-02-26,82246.0,2774.0,30422.0
2020-02-27,82524.0,2816.0,33683.0
2020-02-28,83702.0,2867.0,36268.0
2020-02-29,86502.0,2942.0,39634.0
2020-03-01,87613.0,2994.0,42695.0
2020-03-02,91481.0,3091.0,46201.0
2020-03-03,94704.0,3176.0,48707.0
2020-03-04,93967.0,3248.0,50728.0
2020-03-05,97461.0,3350.0,54137.0
2020-03-06,106265.0,3489.0,57671.0
2020-03-07,105073.0,3553.0,58197.0
2020-03-08,134474.0,4100.0,85320.0
2020-03-09,108042.0,3920.0,58658.0
2020-03-10,114542.0,4207.0,60893.0
2020-03-11,225545.0,7902.0,91152.0
2020-03-12,117769.0,3816.0,75119.0
2020-03-13,83709.0,3217.0,64949.0
2020-03-14,209170.0,7913.0,100219.0
2020-03-15,141504.0,4560.0,74256.0
2020-03-16,179251.0,7126.0,77275.0
2020-03-17,191208.0,7843.0,75442.0
2020-03-18,212193.0,8746.0,80075.0
2020-03-19,234697.0,9796.0,77821.0
2020-03-20,268245.0,11271.0,83988.0
2020-03-21,296829.0,12890.0,84543.0
2020-03-22,333497.0,14579.0,93650.0
2020-03-23,386878.0,16582.0,109454.0
2020-03-24,417381.0,18772.0,106957.0
2020-03-25,461995.0,21110.0,108242.0
2020-03-26,530118.0,24049.0,122527.0
2020-03-27,588990.0,27138.0,126677.0
2020-03-28,653138.0,30588.0,131949.0
2020-03-29,739743.0,34184.0,168305.0
2020-03-30,786711.0,37528.0,168931.0
2020-03-31,853351.0,42036.0,173904.0
2020-04-01,924806.0,46749.0,185307.0
2020-04-02,1030404.0,53045.0,227387.0
2020-04-03,1090583.0,58733.0,220547.0
2020-04-04,1191067.0,64555.0,239914.0
2020-04-05,1268898.0,69316.0,256803.0
2020-04-06,1346759.0,74647.0,278169.0
2020-04-07,1421230.0,81825.0,295241.0
2020-04-08,1504171.0,88274.0,321707.0
2020-04-09,1606588.0,95525.0,365166.0
2020-04-10,1699900.0,102468.0,384463.0
2020-04-11,1768115.0,108465.0,398702.0
2020-04-12,1842158.0,114060.0,417237.0
2020-04-13,1911054.0,119420.0,442386.0
2020-04-14,1987803.0,126242.0,485791.0
2020-04-15,2053241.0,134129.0,508150.0
2020-04-16,2147060.0,143764.0,536391.0
2020-04-17,2239689.0,153804.0,567697.0
2020-04-18,2320572.0,159489.0,595329.0
2020-04-19,2396784.0,165006.0,619481.0
2020-04-20,2465937.0,169951.0,639461.0
2020-04-21,2541573.0,176507.0,672242.0
2020-04-22,2735713.0,187593.0,704029.0
2020-04-23,135808.0,5489.0,1327.0
2020-04-24,2723673.0,191158.0,743840.0
2020-04-25,2815899.0,197376.0,789622.0
2020-04-26,2892398.0,203056.0,807868.0
2020-04-27,2902692.0,206013.0,922032.0
2020-04-28,2817651.0,200646.0,820119.0
2020-04-29,3116398.0,217153.0,928658.0
2020-04-30,3193886.0,227638.0,972719.0
